Random Unique Identifier,Admissions Decision,MCAT,GPA_Overall_Sci,Overall GPA,GPA_Grad_Total,Casper Score,Gender/Sex,Race/Ethnicity
40,Withdrew Application Before Interview,517,4,4,,1.62,Male,Asian
49,Declined Admissions Offer,523,4,4,,1.53,Male,Hispanic
50,Rejected without Interview,505,4,4,,-1.15,Male,Asian
74,Rejected without Interview,508,4,4,,-0.48,Male,Asian
77,Rejected without Interview,511,4,4,4,0.78,Female,Asian
97,Rejected without Interview,515,4,4,,1.65,Female,White/Caucasian
102,Rejected without Interview,515,4,4,,-0.82,Male,Asian
130,Declined Admissions Offer,528,4,4,,0.53,Male,Multiple
132,Withdrew Application from Alternate Pool,514,4,4,,0.45,Female,Asian
134,Rejected without Interview,511,4,4,,-1.62,Male,White/Caucasian
140,Declined Admissions Offer,519,4,4,,1.08,Female,White/Caucasian
143,Withdrew Application After Interview,524,4,4,,0.21,Female,Asian
151,Withdrew Application After Interview,519,4,4,,0.44,Male,Asian
156,Rejected without Interview,504,4,4,,0.69,Male,Unreported
160,Rejected without Interview,516,4,4,,1.15,Female,Asian
161,Withdrew Application After Interview,508,4,4,,0.02,Male,Asian
169,Rejected without Interview,517,4,4,,-0.81,Female,Asian
173,Declined Admissions Offer,520,4,4,,-0.19,Female,Asian
175,Rejected without Interview,515,4,4,,1.09,Male,White/Caucasian
201,Offered Admissions-Matriculated,514,4,4,,-0.43,Female,Asian
217,Withdrew Application After Interview,516,4,4,,-0.39,Male,Asian
218,Alternate Pool/Waitlist,506,4,4,,0.12,Female,Hispanic
219,Withdrew Application After Interview,510,4,4,,1.12,Female,White/Caucasian
226,Declined Admissions Offer,519,4,4,,0.83,Female,Asian
254,Withdrew Application After Interview,516,4,4,,1.33,Male,White/Caucasian
257,Rejected without Interview,525,4,4,,1.03,Male,Asian
258,Withdrew Application After Interview,518,4,4,,0.34,Male,Asian
260,Rejected without Interview,524,4,4,,2.12,Male,Asian
268,Declined Admissions Offer,509,4,4,,1.89,Female,Multiple
270,Withdrew Application After Interview,509,4,4,,-1.5,Female,Hispanic
271,Rejected without Interview,510,4,4,,-0.23,Male,White/Caucasian
280,Withdrew Application Before Interview,523,4,4,4,1.62,Female,Asian
281,Declined Admissions Offer,522,4,4,,1.09,Female,Asian
288,Declined Admissions Offer,525,4,4,,-0.56,Male,Asian
296,Rejected without Interview,519,4,4,,-0.23,Female,Asian
297,Offered Admissions-Matriculated,517,4,4,,0.83,Male,Asian
305,Declined Admissions Offer,524,4,4,,0.28,Female,White/Caucasian
310,Declined Admissions Offer,512,4,4,4,1.57,Male,White/Caucasian
316,Offered Admissions-Matriculated,504,4,4,,0.02,Female,Hispanic
361,Rejected without Interview,499,4,4,,0.29,Male,Unreported
373,Rejected without Interview,515,4,4,,-1.72,Male,White/Caucasian
398,Rejected without Interview,513,4,4,,0.42,Female,White/Caucasian
402,Declined Admissions Offer,521,4,4,,-0.07,Male,White/Caucasian
410,Rejected without Interview,511,4,4,,-0.98,Male,White/Caucasian
418,Withdrew Application After Interview,518,4,4,,-0.43,Female,Unreported
423,Rejected without Interview,504,4,4,,-0.44,Female,White/Caucasian
427,Rejected without Interview,528,4,4,,1.57,Male,Asian
432,Rejected without Interview,521,4,4,,0.98,Male,Multiple
436,Rejected without Interview,514,4,4,,0.54,Female,Unreported
440,Declined Admissions Offer,519,4,4,,0.6,Female,Asian
464,Declined Admissions Offer,516,4,4,,-0.89,Male,Hispanic
470,Withdrew Application Before Interview,520,4,4,,0.19,Female,Asian
471,Rejected without Interview,506,4,4,,-0.18,Female,White/Caucasian
475,Rejected without Interview,520,4,4,,-0.07,Male,Asian
477,Alternate Pool/Waitlist,507,4,4,,0.57,Male,White/Caucasian
484,Rejected without Interview,517,4,4,,-1.32,Female,White/Caucasian
494,Withdrew Application After Interview,507,4,4,,-1.22,Female,African American
508,Rejected without Interview,518,4,4,,0.34,Male,Asian
516,Rejected without Interview,516,4,4,,0.12,Male,White/Caucasian
517,Declined Admissions Offer,525,4,4,,2.31,Male,Unreported
519,Declined Admissions Offer,515,4,4,,0.11,Female,Asian
531,Rejected without Interview,510,4,4,,-0.11,Male,Asian
539,Rejected without Interview,518,4,4,,1.16,Male,Hispanic
544,Declined Admissions Offer,524,4,4,,1.33,Female,Asian
552,Withdrew Application After Interview ,524,4,4,,1.65,Male,Asian
554,Offered Admissions-Matriculated,503,4,4,,-0.39,Male,Hispanic
563,Rejected without Interview,513,4,4,,,Female,Hispanic
568,Rejected without Interview,513,4,4,,-1.8,Male,White/Caucasian
570,Declined Admissions Offer,518,4,4,,0.69,Male,Multiple
584,Withdrew Application Before Interview,519,4,4,,0.78,Male,Asian
607,Declined Admissions Offer,520,4,4,,1.41,Female,Unreported
608,Rejected without Interview,515,4,4,,0.17,Female,Asian
609,Rejected without Interview,521,4,4,,-0.45,Male,Asian
620,Rejected without Interview,522,4,4,,,Male,Asian
621,Rejected without Interview,515,4,4,,-0.89,Male,White/Caucasian
629,Rejected without Interview,519,4,4,,2.07,Male,Asian
636,Withdrew Application After Interview,505,4,4,,-0.73,Male,Hispanic
649,Rejected without Interview,492,4,4,,-1.62,Female,Hispanic
656,Declined Admissions Offer,513,4,4,4,-1.33,Female,Hispanic
657,Rejected without Interview,517,4,4,,,Male,White/Caucasian
658,Withdrew Application After Interview,524,4,4,,-0.44,Male,White/Caucasian
662,Withdrew Application After Interview,510,4,4,,0.36,Male,Multiple
663,Withdrew Application After Interview,505,4,4,,-1.74,Male,Asian
672,Declined Admissions Offer,511,4,4,,0.59,Female,White/Caucasian
677,Withdrew Application After Interview,511,4,4,,0.44,Female,White/Caucasian
679,Declined Admissions Offer,524,4,4,4,0.78,Male,Asian
692,Withdrew Application After Interview,512,4,4,,-0.83,Female,White/Caucasian
727,Declined Admissions Offer,516,4,4,,0.69,Male,Asian
730,Declined Admissions Offer,518,4,4,,0.19,Male,White/Caucasian
739,Declined Admissions Offer,513,4,4,,0.03,Male,Asian
765,Declined Admissions Offer,516,4,4,,0.29,Female,Multiple
775,Alternate Pool/Waitlist,503,4,4,4,0.17,Male,White/Caucasian
791,Alternate Pool/Waitlist,502,4,4,,-0.58,Female,Hispanic
793,Declined Admissions Offer,521,4,4,,1.17,Male,White/Caucasian
809,Rejected without Interview,515,4,4,,-1.15,Female,White/Caucasian
811,Alternate Pool/Waitlist,505,4,4,,0.44,Female,White/Caucasian
821,Withdrew Application After Interview,506,4,4,,0.21,Female,Multiple
823,Rejected without Interview,516,4,4,,-1.22,Male,White/Caucasian
826,Rejected without Interview,512,4,4,,1.3,Female,White/Caucasian
836,Withdrew Application After Interview,522,4,4,,1.62,Female,Asian
848,Withdrew Application After Interview,515,4,4,,-0.07,Male,White/Caucasian
849,Rejected without Interview,515,4,4,,1.03,Male,Asian
853,Declined Admissions Offer,526,4,4,,0.86,Male,Unreported
861,Offered Admissions-Matriculated,518,4,4,,1.41,Male,Asian
863,Rejected without Interview,510,4,4,,0.2,Female,Asian
875,Rejected without Interview,512,4,4,,0.67,Female,White/Caucasian
881,Rejected without Interview,515,4,4,,-0.49,Male,White/Caucasian
883,Withdrew Application After Interview ,520,4,4,,-0.39,Male,Unreported
884,Rejected without Interview,511,4,4,,-0.75,Female,White/Caucasian
901,Withdrew Application After Interview,525,4,4,,0.19,Male,White/Caucasian
906,Declined Admissions Offer,516,4,4,,0.54,Male,White/Caucasian
915,Declined Admissions Offer,513,4,4,,0.21,Male,Hispanic
925,Rejected without Interview,518,4,4,,-0.68,Male,Hispanic
933,Withdrew Application After Interview,508,4,4,,-0.64,Female,Asian
937,Declined Admissions Offer,513,4,4,,-0.73,Male,White/Caucasian
944,Declined Admissions Offer,522,4,4,,1.28,Female,White/Caucasian
945,Withdrew Application After Interview,508,4,4,,-0.32,Female,White/Caucasian
948,Rejected without Interview,512,4,4,,-1.06,Male,White/Caucasian
950,Rejected without Interview,518,4,4,,0.17,Male,White/Caucasian
957,Rejected without Interview,516,4,4,,-0.65,Female,White/Caucasian
958,Declined Admissions Offer,522,4,4,,0.91,Female,Asian
959,Declined Admissions Offer,514,4,4,,-0.25,Female,Hispanic
960,Rejected without Interview,510,4,4,,-0.27,Female,White/Caucasian
961,Rejected without Interview,525,4,4,,0.69,Male,Asian
962,Rejected without Interview,521,4,4,,0.11,Male,Asian
965,Rejected without Interview,,4,4,4,,Female,African American
975,Rejected without Interview,514,4,4,,0.96,Female,White/Caucasian
976,Withdrew Application After Interview,510,4,4,,0.17,Male,Hispanic
983,Offered Admissions-Matriculated,505,4,4,,-0.59,Female,Hispanic
987,Declined Admissions Offer,524,4,4,,0.59,Male,White/Caucasian
1010,Rejected without Interview,517,4,4,,-0.31,Female,White/Caucasian
1013,Declined Admissions Offer,516,4,4,,0.86,Female,Unreported
1019,Rejected without Interview,518,4,4,,-0.41,Male,White/Caucasian
1023,Withdrew Application After Interview,519,4,4,,0.49,Male,Asian
1031,Declined Admissions Offer,523,4,4,,-0.07,Female,Asian
1037,Offered Admissions-Matriculated,522,4,4,,-0.35,Male,White/Caucasian
1046,Withdrew Application After Interview,503,4,4,,-0.57,Female,Asian
1048,Rejected without Interview,513,4,4,,-1.3,Male,Unreported
